county Name,Date,AQI,Defining Parameter
Alachua,2020-03-26,56,PM2.5
Alachua,2020-03-27,50,PM2.5
Alachua,2020-03-28,49,PM2.5
Alachua,2020-03-30,39,PM2.5
Alachua,2020-03-31,39,PM2.5
Alachua,2020-04-05,67,PM2.5
Alachua,2020-04-08,34,PM2.5
Alachua,2020-04-09,52,PM2.5
Alachua,2020-04-12,51,PM2.5
Alachua,2020-04-13,71,PM2.5
Alachua,2020-04-14,59,PM2.5
Alachua,2020-04-15,48,PM2.5
Alachua,2020-04-16,31,PM2.5
Alachua,2020-04-18,31,PM2.5
Alachua,2020-04-19,38,PM2.5
Alachua,2020-04-25,37,PM2.5
Alachua,2020-04-26,37,PM2.5
Alachua,2020-05-28,36,PM2.5
Alachua,2020-05-30,30,PM2.5
Alachua,2020-06-06,20,PM2.5
Alachua,2020-06-07,22,PM2.5
Alachua,2020-06-08,33,PM2.5
Alachua,2020-06-09,38,PM2.5
Alachua,2020-06-11,30,PM2.5
Alachua,2020-06-23,22,PM2.5
Alachua,2020-06-24,29,PM2.5
Alachua,2020-06-25,53,PM2.5
Alachua,2020-06-26,105,PM2.5
Alachua,2020-06-27,60,PM2.5
Alachua,2020-06-28,53,PM2.5
Alachua,2020-06-29,33,PM2.5
Alachua,2020-06-30,40,PM2.5
Alachua,2020-07-01,33,PM2.5
Alachua,2020-07-02,50,PM2.5
Alachua,2020-07-03,43,PM2.5
Baker,2020-03-26,44,PM2.5
Baker,2020-03-27,48,PM2.5
Baker,2020-03-28,50,PM2.5
Baker,2020-03-29,39,PM2.5
Baker,2020-03-30,43,PM2.5
Baker,2020-04-04,64,PM2.5
Baker,2020-04-05,56,PM2.5
Baker,2020-04-08,40,PM2.5
Baker,2020-04-09,56,PM2.5
Baker,2020-04-12,56,PM2.5
Baker,2020-04-13,67,PM2.5
Baker,2020-04-14,52,PM2.5
Baker,2020-04-15,34,PM2.5
Baker,2020-04-18,30,PM2.5
Baker,2020-04-19,35,PM2.5
Baker,2020-04-25,45,PM2.5
Baker,2020-06-02,43,PM2.5
Baker,2020-06-05,30,PM2.5
Baker,2020-06-06,28,PM2.5
Baker,2020-06-07,23,PM2.5
Baker,2020-06-08,44,PM2.5
Baker,2020-06-09,34,PM2.5
Baker,2020-06-10,37,PM2.5
Baker,2020-06-11,40,PM2.5
Baker,2020-06-17,34,PM2.5
Baker,2020-06-22,29,PM2.5
Baker,2020-06-24,37,PM2.5
Baker,2020-06-25,78,PM2.5
Baker,2020-06-26,140,PM2.5
Baker,2020-06-27,116,PM2.5
Baker,2020-06-28,60,PM2.5
Baker,2020-06-29,40,PM2.5
Baker,2020-06-30,42,PM2.5
Baker,2020-07-01,38,PM2.5
Baker,2020-07-02,55,PM2.5
Baker,2020-07-03,40,PM2.5
Bay,2020-03-26,49,PM2.5
Bay,2020-03-27,40,PM2.5
Bay,2020-03-28,44,PM2.5
Bay,2020-03-29,52,PM2.5
Bay,2020-03-31,52,PM2.5
Bay,2020-04-04,57,PM2.5
Bay,2020-04-05,54,PM2.5
Bay,2020-04-08,40,PM2.5
Bay,2020-04-09,59,PM2.5
Bay,2020-04-12,68,PM2.5
Bay,2020-04-13,71,PM2.5
Bay,2020-04-14,44,PM2.5
Bay,2020-04-15,51,PM2.5
Bay,2020-04-19,49,PM2.5
Bay,2020-04-23,50,PM2.5
Bay,2020-04-25,47,PM2.5
Bay,2020-05-16,35,PM2.5
Bay,2020-05-19,28,PM2.5
Bay,2020-05-22,59,PM2.5
Bay,2020-05-23,54,PM2.5
Bay,2020-05-24,34,PM2.5
Bay,2020-05-26,28,PM2.5
Bay,2020-05-27,25,PM2.5
Bay,2020-05-29,38,PM2.5
Bay,2020-06-01,49,PM2.5
Bay,2020-06-06,20,PM2.5
Bay,2020-06-07,45,PM2.5
Bay,2020-06-08,62,PM2.5
Bay,2020-06-09,48,PM2.5
Bay,2020-06-10,41,PM2.5
