01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30,01/31,02/01,02/02,02/03,02/04,02/05,02/06,02/07,02/08,02/09,02/10,02/11,02/12,02/13,02/14,02/15,02/16,02/17,02/18,02/19,02/20,02/21,02/22,02/23,02/24,02/25,02/26,02/27,02/28,02/29,03/01,03/02,03/03,03/04,03/05,03/06,03/07,03/08,03/09,03/10,03/11,03/12,03/13,03/14,03/15,03/16,03/17,03/18,03/19,03/20,03/21,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/20,04/21,04/22,04/23,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,COUNTY
93577,130263,137751,110805,101379,120925,117384,122200,125525,133191,110940,99891,93869,111787,117053,126848,142999,118938,103312,125558,123471,124200,128991,140574,116689,106961,122581,123511,126175,130116,141223,111681,95403,127978,125840,130595,131625,142957,121578,111534,131617,129547,135083,139490,149485,128654,114187,138175,136840,139186,143483,152486,130202,119589,135390,136144,132840,142803,153025,130385,120181,133669,132001,137114,137780,148520,117773,110964,130564,124231,127897,131177,142715,114565,101024,120810,113542,111942,108365,108773,78079,59648,85962,83737,83638,82672,84500,57054,45057,74156,73959,76644,78887,67982,43315,33219,65858,68097,69065,70435,47893,35449,67811,69388,72335,70273,76090,70921,75069,76471,77567,75609,56392,47543,81090,81401,82963,78821,93613,70535,61411,85695,86056,88109,92359,101661,82764,62362,91628,90193,90936,92916,97861,77786,70097,89630,92124,96412,100855,110414,86071,66650,73553,97712,97797,99932,108408,87238,77210,95022,93482,94690,105628,76718,70818,98262,98062,100000,115712,90442,82383,101684,100808,104142,105273,115357,98387,86522,105339,100503,101240,106062,114228,93320,80747,98897,99327,102682,111925,103217,71816,81094,99167,96529,Charlotte
27107,42907,45616,33070,32908,41046,43203,44375,45091,47476,37034,32608,42655,44600,45663,46381,48776,43354,32396,40809,42932,42781,43683,47714,38686,32879,42504,43436,44044,44229,46489,36002,30693,44105,44551,46690,43638,46864,39486,35384,44877,45000,47559,49041,49166,42329,35359,43489,46735,47134,46551,47877,39003,34993,45368,43505,45055,46220,51230,40879,36594,45775,46502,48367,46076,49978,40080,34114,45133,46354,48357,47971,51149,40343,33941,41772,40131,39627,38233,39310,28825,23285,31829,31733,31083,31192,32774,25315,20754,30357,29950,31750,32386,29249,20714,14305,27314,28066,29059,28877,23658,16164,28554,28415,28290,28461,32518,28019,32314,32333,32543,29155,27013,23494,34822,34757,33896,32501,38717,31541,26542,35645,35678,35701,36986,40019,34185,25812,36423,37270,38156,37585,40845,34136,29462,34463,37478,39556,40422,44768,36777,31197,27859,38812,39842,39651,42105,36315,31651,39206,39398,38009,41579,28306,24197,37764,39345,40287,44845,37449,32314,39300,40109,41228,40348,40543,34891,29818,35663,36188,37557,37531,39533,32615,27751,35886,38459,43349,46666,45621,34863,31295,40701,42047,Citrus
236551,325565,338452,284312,264567,314038,304515,310861,318654,335605,278819,253325,310912,308167,317272,324877,358463,335255,297174,354136,314865,317105,325334,352525,292148,268415,315217,311662,318636,324035,343195,279042,242780,322503,317641,321967,327507,361334,311744,273510,329363,325433,331812,347298,369356,316399,284115,342564,329201,327244,321409,340037,289299,251167,306057,302659,303057,322250,335752,283967,286058,327753,321459,329300,337117,360716,305524,273929,320782,318316,323145,322181,335254,264021,229269,287128,262318,252039,240872,243697,165089,125717,195608,189258,187212,184823,190306,124242,95336,169296,170020,171818,170158,159620,99468,75727,154675,154456,160934,165378,111938,80213,162531,164439,167589,166548,179604,171881,172426,176802,177734,189230,130955,87456,172052,181465,187355,179619,213447,157341,131208,202405,202544,206030,213029,237438,193150,141294,215325,212257,210427,202173,224089,174591,152927,207451,214754,222224,231642,232694,174009,132305,147242,212765,213458,215472,231866,175992,148640,208080,209869,213370,231111,169587,146679,218322,218028,220525,245013,180986,159731,221377,221256,223464,227331,247701,194299,165012,223113,219880,220378,223895,243599,185524,158620,216490,214114,220510,234920,218501,147360,165241,213985,207772,Collier
15620,22611,24145,18099,18292,22028,21675,22571,23220,25535,20811,18313,22499,22410,23591,24196,27588,21997,18919,23389,22896,22747,22761,25540,21440,19693,22008,22929,23174,24593,27122,19745,17776,23581,23519,24457,24462,27248,22188,20292,23960,24307,25616,26843,29065,24084,20197,25060,25229,25043,26432,28336,24130,21933,24942,24760,24028,25564,26799,22926,20478,22534,21973,24779,27501,26495,23409,18923,29022,24844,25539,24989,28381,22077,20002,22822,21354,21288,21222,22357,15906,13628,18936,18266,18105,18119,18546,13530,11630,16882,17274,17320,17858,15583,10876,8235,15523,15857,16333,16454,12022,9367,16382,16058,16619,16181,17356,16352,17278,17718,17791,16646,13112,12243,18449,18569,18792,17060,20610,16437,14415,19058,18857,19264,19564,21888,17827,13957,19259,19282,19185,19943,21092,16406,14891,18604,18845,19526,19615,22520,17073,12798,13798,19026,19159,18709,20863,16739,14685,18219,18627,18176,19453,14002,13224,18087,18269,18921,21471,15950,14798,18850,18700,10515,19366,21434,17223,15547,18870,18631,19555,19250,21254,16119,14313,18203,18602,18885,20446,18055,12816,14553,18841,17845,Desoto
3437,4675,5495,3620,3310,4655,4581,4488,4883,5273,3889,3263,4752,4668,4569,4763,5299,4202,3560,4603,4675,4452,4748,5293,4153,3060,4659,4707,4719,4798,5008,3713,3514,4846,4765,5126,4871,5379,4249,3758,4788,4845,4921,5161,5735,5180,4215,4801,5050,5082,5343,5402,4224,4148,4920,5183,5147,5154,5748,4125,4089,5065,5073,5111,5610,6289,5312,4101,5351,5031,5146,5009,5562,3866,3298,4599,4578,4484,4719,4759,3130,2711,3979,4124,4019,3744,3821,2688,2096,3531,3580,3515,3797,3449,2150,1621,3382,3335,3364,3474,2331,1733,3589,3448,3542,3653,3967,3694,3694,3973,3801,3913,2853,2167,3884,3895,3766,3642,4578,3479,2980,4136,4213,4007,4397,4705,3547,2452,4043,4270,3834,3823,4010,2900,2464,3649,3465,3546,3659,4119,2969,2152,2147,3596,3470,3554,3904,3047,2539,3605,3363,3175,3777,2541,2167,3353,3546,3260,3786,2845,2316,3626,0,1683,3797,4182,3172,2723,4000,3811,3699,4007,4440,3204,2771,3963,3847,4235,4159,3614,2638,2901,3808,3913,Glades
25134,36532,40665,31929,29259,36652,36284,36452,37705,41290,32590,29010,37038,37135,37574,38575,44852,35353,31031,38365,38008,36710,38456,43849,34151,30933,37858,37695,37967,38911,42692,32682,29580,39149,38266,38240,39721,44434,35561,31947,39522,39432,39930,41664,46481,37105,32349,40187,39049,39190,40186,45371,37383,33891,39049,38801,38706,40353,45454,37407,34028,39190,39056,39484,40941,45322,37750,32485,39334,38410,39016,39603,44008,33810,28870,36415,34426,33546,33745,36021,25621,21156,30796,30375,30057,29642,31383,22073,17839,27627,26396,27978,29195,26858,17908,14112,25434,25700,26663,27794,20110,15233,26909,26682,27902,27607,29121,28562,28578,27937,28749,30022,22673,18446,29864,29813,30050,28738,34265,27453,23209,31411,30569,15516,31687,36099,30160,22724,31633,31539,32103,33280,34556,29084,25365,31022,30829,32497,16789,36510,28779,22012,23683,32383,32590,32495,36479,28573,24596,31265,31161,31482,34841,27056,23955,32089,31640,32661,37643,28917,25637,33034,32944,33828,33067,36794,29757,26040,33136,31969,32809,34057,37122,28907,25655,32913,32123,33279,35296,33371,23862,26639,32331,31452,Hendry
24915,35697,37642,28952,28538,34568,38360,38066,38054,41397,32974,28934,37020,38184,38548,38903,42162,34844,27517,34187,37127,36703,37746,40802,33804,28914,36283,38398,37316,37771,40470,32116,28681,37357,38484,39166,37694,41282,33930,31178,38168,39599,40182,42052,42610,35222,31052,35232,39967,40151,40178,41800,34742,31242,38654,38247,37315,40432,43111,35518,32069,38785,40652,40598,39817,42692,35418,30210,37973,39261,40107,40488,40698,34151,28945,33540,33584,32291,31413,32364,26251,21558,27246,27370,26796,26961,28731,23588,19732,25201,25456,26869,27343,24889,19622,13814,23265,24241,24574,25569,22666,15735,24177,24555,24622,24292,27925,23509,26804,27497,27513,24061,24952,22005,27160,28114,28657,27675,32662,28188,23643,29273,30318,30122,30968,33382,30352,24108,29775,30827,31384,31665,35551,29981,25639,28454,31832,32577,32813,35537,31239,26760,23483,32334,33107,31406,31511,27616,24680,28845,26937,30808,33983,25109,22587,31640,32676,32972,36106,32224,27526,32815,33091,33827,34428,35661,32886,29220,31189,32606,33698,33933,35022,31191,26721,31780,32862,33139,34573,33618,26413,23954,30347,31875,Hernando
10217,16312,17859,12882,12772,15936,15507,15895,16736,18152,13759,12279,16082,15549,16397,16591,19808,14087,12650,17227,15883,15157,16391,19082,13814,13399,15935,15904,16422,16710,18690,12647,12140,16704,16155,16345,16727,19011,14476,13612,16796,17071,19058,19433,21635,15943,14411,19143,17857,16916,17490,20024,14366,14048,17139,16752,16431,17897,20840,16123,15267,17168,16963,17718,18987,20589,15560,14438,18570,17297,17702,18273,20224,14204,12723,16363,15401,15547,15132,16040,10507,8897,13754,13483,13480,12995,13838,8756,7328,12695,12345,12442,13013,12158,7165,5585,11615,11629,11758,11675,7718,5904,12150,11931,12270,11777,12594,12196,12484,13063,12983,12823,8859,7758,13021,13212,13146,12457,14683,10534,9126,13436,13352,13445,13993,15489,11365,9426,13600,13496,13652,14870,14809,10634,10016,13360,13417,14118,14515,16806,11397,8759,10302,13806,7965,7548,8746,6652,6181,12986,13478,13587,14551,9970,9458,7358,7173,8983,16229,11535,10814,14253,13064,14081,14106,15833,11504,10993,14404,13514,13862,14178,15444,11072,9869,13485,13193,13261,14864,13517,8800,11454,13841,13174,Highlands
598964,856118,963169,763970,686799,910950,932075,940139,954196,1012229,856655,693789,936289,954912,975441,982804,1039198,799653,696251,883315,935236,933133,968744,1033469,778424,710578,850533,877473,946523,969628,950351,842372,672764,937206,881394,967664,996447,922478,797563,653551,873133,942759,983462,934656,1058447,917825,756769,945087,898842,987721,996243,1041444,888917,735979,883254,980001,907615,937932,1052801,840324,789081,961132,985950,995967,1012890,1045560,897727,735308,947937,969009,979545,892676,1002868,801233,588101,698963,673406,651124,632814,645411,466188,357187,453204,547005,625035,535194,503993,383279,309656,542870,545296,510096,560386,556021,377412,271153,516336,526327,533361,550389,415977,300776,478994,531736,553367,533980,595553,532887,551567,575955,621875,560898,512784,409202,634409,639872,641531,631090,724627,572573,452966,672277,643362,623498,713076,775472,598501,519365,695556,717435,659672,740427,798441,605348,544382,698486,746337,765784,786123,851183,706558,564822,500308,780274,789466,784923,850424,743883,606944,660661,729127,660905,791302,597239,535146,686324,797275,806317,821186,774698,646079,803835,817086,831303,765864,906780,798960,653802,806624,801721,740006,825480,799733,678079,600652,718396,807937,818302,774462,785259,584499,573174,775718,781137,Hillsborough
37253,61489,65082,48295,43551,22041,22511,63749,66154,26179,21589,19209,24461,24054,24787,24839,27334,22517,18371,58327,61186,63931,65864,69723,57040,44473,63369,64586,64065,66015,70052,52799,45340,63396,66342,66609,65656,65754,53650,47472,65501,63673,68481,69930,71452,59564,48148,62155,67108,68143,69395,68338,53957,47152,65513,66272,66581,66505,72264,57751,47801,66689,68143,69455,68913,73657,57985,46473,66803,67857,68659,69512,68669,52336,41964,57942,55856,54413,53388,54646,39551,30609,47124,46624,46540,45135,44306,31915,28023,42751,44195,45578,44967,42139,30473,21324,40831,41145,41969,43150,33359,22732,41474,42289,42954,42391,47360,41624,46254,46833,45419,43346,36592,28478,45309,45338,44590,43937,50676,39284,33880,50666,50920,51133,48861,52703,43975,35622,49741,52118,48595,19885,44154,44359,35952,51876,54420,55161,56350,59501,46455,37285,34787,54487,53117,55143,59565,47142,38262,56241,56508,54373,59970,42627,34087,53991,56608,57234,63230,48496,39932,57266,57712,58479,58536,60580,48858,42058,56319,56214,57320,57731,60607,47732,38191,55730,56646,56558,57660,53796,37599,35992,56889,59012,Lake
