COUNTY,DATE,PRECIPITATION,MEAN TEMP
Alachua,01/01,0.0,52.5
Alachua,01/02,0.0,61.5
Alachua,01/03,1e-05,73.0
Alachua,01/04,0.68,63.0
Alachua,01/05,0.0,50.0
Alachua,01/06,0.0,51.0
Alachua,01/07,0.0,54.0
Alachua,01/08,0.0,49.0
Alachua,01/09,0.0,54.5
Alachua,01/10,0.0,65.5
Alachua,01/11,0.0,73.0
Alachua,01/12,0.0,74.5
Alachua,01/13,0.0,73.0
Alachua,01/14,0.0,69.0
Alachua,01/15,0.0,70.0
Alachua,01/16,0.0,68.0
Alachua,01/17,0.0,62.5
Alachua,01/18,0.0,61.5
Alachua,01/19,0.08,63.0
Alachua,01/20,0.0,46.5
Alachua,01/21,0.0,40.5
Alachua,01/22,1e-05,44.0
Alachua,01/23,1e-05,58.0
Alachua,01/24,1e-05,62.0
Alachua,01/25,0.0,55.0
Alachua,01/26,1e-05,52.0
Alachua,01/27,1e-05,57.5
Alachua,01/28,0.0,53.5
Alachua,01/29,1e-05,47.0
Alachua,01/30,1e-05,57.5
Alachua,01/31,1e-05,60.5
Alachua,02/01,0.0,54.0
Alachua,02/02,0.0,52.5
Alachua,02/03,0.0,56.0
Alachua,02/04,0.0,56.5
Alachua,02/05,0.0,65.5
Alachua,02/06,0.93,73.5
Alachua,02/07,0.0,49.5
Alachua,02/08,0.0,51.0
Alachua,02/09,0.0,56.0
Alachua,02/10,0.0,64.0
Alachua,02/11,0.0,71.5
Alachua,02/12,0.0,73.5
Alachua,02/13,0.02,72.5
Alachua,02/14,0.03,57.0
Alachua,02/15,0.0,57.5
Alachua,02/16,0.04,63.0
Alachua,02/17,1e-05,63.5
Alachua,02/18,0.0,72.5
Alachua,02/19,0.0,71.5
Alachua,02/20,0.04,61.5
Alachua,02/21,0.03,43.0
Alachua,02/22,0.0,48.0
Alachua,02/23,0.0,56.0
Alachua,02/24,0.0,63.5
Alachua,02/25,0.66,65.0
Alachua,02/26,0.69,62.5
Alachua,02/27,0.0,46.5
Alachua,02/28,0.0,46.0
Alachua,02/29,0.0,51.5
Alachua,03/01,0.0,50.5
Alachua,03/02,0.0,60.0
Alachua,03/03,0.0,69.5
Alachua,03/04,0.0,71.5
Alachua,03/05,0.05,74.5
Alachua,03/06,0.0,60.0
Alachua,03/07,0.0,50.0
Alachua,03/08,0.0,52.0
Alachua,03/09,0.0,62.0
Alachua,03/10,1e-05,66.0
Alachua,03/11,0.0,67.0
Alachua,03/12,0.0,65.5
Alachua,03/13,0.0,67.5
Alachua,03/14,0.0,70.0
Alachua,03/15,0.0,72.5
Alachua,03/16,0.0,73.5
Alachua,03/17,0.0,72.0
Alachua,03/18,0.0,73.5
Alachua,03/19,0.0,72.5
Alachua,03/20,0.0,73.5
Alachua,03/21,0.0,72.0
Alachua,03/22,0.0,72.0
Alachua,03/23,0.0,75.0
Alachua,03/24,0.0,71.0
Alachua,03/25,1e-05,76.5
Alachua,03/26,0.0,75.0
Alachua,03/27,0.0,73.5
Alachua,03/28,0.0,75.0
Alachua,03/29,0.0,75.5
Alachua,03/30,0.0,75.0
Alachua,03/31,0.59,73.5
Alachua,04/01,0.0,59.0
Alachua,04/02,0.0,58.5
Alachua,04/03,0.0,62.0
Alachua,04/04,0.0,66.5
Alachua,04/05,0.06,65.5
Alachua,04/06,0.0,68.0
Alachua,04/07,0.0,71.0
Alachua,04/08,0.0,73.5
Alachua,04/09,0.0,80.5
Alachua,04/10,0.0,64.0
Alachua,04/11,0.0,62.5
Alachua,04/12,0.02,78.5
Alachua,04/13,0.01,81.0
Alachua,04/14,1.72,73.5
Alachua,04/15,1.3,69.5
Alachua,04/16,0.11,63.0
Alachua,04/17,0.0,66.5
Alachua,04/18,0.24,71.0
Alachua,04/19,0.0,78.0
Alachua,04/20,0.2,74.0
Alachua,04/21,0.0,71.5
Alachua,04/22,0.0,67.0
Alachua,04/23,1.15,75.5
Alachua,04/24,0.52,70.0
Alachua,04/25,0.0,75.0
Alachua,04/26,0.0,70.5
Alachua,04/27,0.0,63.5
Alachua,04/28,0.0,65.0
Alachua,04/29,0.0,71.5
Alachua,04/30,0.51,69.0
Alachua,05/01,0.0,64.0
Alachua,05/02,0.0,67.0
Alachua,05/03,0.0,71.0
Alachua,05/04,0.0,71.5
Alachua,05/05,0.0,74.0
Alachua,05/06,1e-05,72.0
Alachua,05/07,0.0,61.5
Alachua,05/08,0.0,62.0
Alachua,05/09,0.0,70.0
Alachua,05/10,0.67,66.5
Alachua,05/11,0.0,69.0
Alachua,05/12,0.0,66.5
Alachua,05/13,0.0,68.5
Alachua,05/14,0.0,71.5
Alachua,05/15,0.0,72.0
Alachua,05/16,1e-05,75.5
Alachua,05/17,0.0,78.5
Alachua,05/18,1e-05,77.5
Alachua,05/19,0.02,77.0
Alachua,05/20,0.0,77.5
Alachua,05/21,0.0,78.5
Alachua,05/22,0.0,79.0
Alachua,05/23,1e-05,80.0
Alachua,05/24,0.0,78.5
Alachua,05/25,0.37,75.5
Alachua,05/26,0.06,76.0
Alachua,05/27,1.07,78.0
Alachua,05/28,1.13,78.5
Alachua,05/29,0.84,77.0
Alachua,05/30,1.25,79.5
Alachua,05/31,0.0,80.5
Alachua,06/01,0.0,79.0
Alachua,06/02,0.0,77.0
Alachua,06/03,0.06,75.0
Alachua,06/04,0.62,75.5
Alachua,06/05,1e-05,76.5
Alachua,06/06,1.0,76.0
Alachua,06/07,2.62,77.0
Alachua,06/08,0.22,80.0
Alachua,06/09,0.01,79.5
Alachua,06/10,0.05,81.5
Alachua,06/11,0.11,79.0
Alachua,06/12,3.13,79.0
Alachua,06/13,1e-05,77.0
