COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/19/2020,N,71,31,42,16,35,34,172,468,703,735,726,841,941,927,959,1052,1068,1255,879,653,475,361,313,135,12892,18,1255,,
93,0010,06/19/2020,S,49,32,25,22,32,94,367,618,872,830,824,860,957,978,957,979,967,896,726,535,444,354,272,169,12859,16,979,,
87,0031,06/19/2020,E,470,250,164,152,189,505,1388,1932,2126,1518,1960,2031,1955,2097,2142,2276,2170,2166,1974,1639,1477,1329,1250,994,34154,16,2276,,
87,0031,06/19/2020,W,786,483,301,230,175,233,523,984,1311,1488,1497,1803,2062,2096,2377,2599,2685,2346,1999,2147,1509,1479,1270,1303,33686,17,2685,,
29,0037,06/19/2020,E,14,14,24,14,36,93,138,270,279,253,267,275,242,242,242,217,268,247,212,158,134,92,50,42,3823,09,279,,
29,0037,06/19/2020,W,26,14,17,12,32,48,114,166,190,176,221,249,256,253,322,316,337,329,309,245,172,120,89,80,4093,17,337,,
75,0038,06/19/2020,E,89,67,48,69,188,435,882,1280,1229,1278,1327,1421,1496,1481,1355,1512,1425,1486,1110,770,644,515,358,221,20686,16,1512,,
75,0038,06/19/2020,W,135,83,47,68,96,221,582,852,983,979,1103,1242,1498,1497,1507,1618,1797,1800,1415,1053,876,666,480,306,20904,18,1800,,
07,0039,06/19/2020,E,41,25,37,49,102,200,393,476,479,457,525,556,575,599,615,662,816,898,625,397,264,226,145,83,9245,18,898,,
07,0039,06/19/2020,W,32,24,25,40,94,396,629,523,481,517,553,619,648,662,576,598,614,688,483,376,284,206,150,73,9291,18,688,,
26,0043,06/19/2020,N,27,17,11,12,14,37,76,121,130,168,203,243,238,265,306,381,373,450,306,214,160,132,71,55,4010,18,450,,
26,0043,06/19/2020,S,20,9,13,12,39,91,282,402,327,305,265,231,244,223,246,245,272,209,198,148,104,60,62,36,4043,08,402,,
02,0044,06/19/2020,N,44,29,34,30,86,184,409,688,801,794,895,925,928,941,930,983,895,864,738,512,376,292,168,126,12672,16,983,,
02,0044,06/19/2020,S,23,22,15,22,28,84,160,213,251,298,356,324,416,411,433,428,480,501,362,310,223,160,111,61,5692,18,501,,
74,0047,06/19/2020,N,43,26,25,40,53,92,126,196,222,271,305,350,334,410,378,390,443,441,366,294,238,159,128,98,5428,17,443,,
74,0047,06/19/2020,S,33,26,21,38,78,180,218,249,280,272,337,381,392,416,415,437,379,351,367,310,190,167,107,75,5719,16,437,,
48,0048,06/19/2020,E,11,10,8,11,34,112,225,246,199,170,189,207,215,221,219,244,235,235,184,183,111,84,43,43,3439,08,246,,
48,0048,06/19/2020,W,13,16,4,18,25,50,110,120,153,133,196,177,193,247,212,259,269,256,226,178,136,100,65,52,3208,17,269,,
53,0050,06/19/2020,N,58,35,28,33,65,114,183,324,388,562,642,659,603,566,553,508,490,494,408,282,218,189,168,198,7768,12,659,,
53,0050,06/19/2020,S,83,76,80,96,145,225,351,429,512,609,682,708,836,909,876,860,766,694,606,539,426,421,226,162,11317,14,909,,
60,0051,06/19/2020,N,7,5,10,14,20,47,89,132,145,186,228,221,206,181,183,224,221,221,161,123,108,86,53,32,2903,11,228,,
60,0051,06/19/2020,S,10,15,8,21,46,96,154,191,139,160,174,175,189,221,243,277,241,198,184,112,71,74,51,22,3072,16,277,,
50,0054,06/19/2020,N,20,19,15,14,25,43,99,145,160,171,189,230,273,254,271,289,328,328,233,189,167,119,89,56,3726,17,328,,
50,0054,06/19/2020,S,20,14,22,25,37,88,258,272,189,190,212,209,240,251,224,214,222,227,214,189,142,129,82,33,3703,08,272,,
49,0060,06/19/2020,E,7,5,5,3,12,15,57,76,98,127,158,150,152,171,187,217,249,229,197,133,115,88,32,30,2513,17,249,,
49,0060,06/19/2020,W,9,8,5,3,15,50,119,126,133,184,210,217,212,183,215,215,206,203,191,157,109,84,46,30,2930,12,217,,
72,0062,06/19/2020,E,110,57,47,36,59,157,593,956,1225,1262,1388,1445,1322,1575,1579,1644,1440,1557,1275,1032,774,598,427,289,20847,16,1644,,
72,0062,06/19/2020,W,136,75,66,45,48,153,430,758,891,1029,1129,1330,1388,1331,1366,1396,1518,1442,1223,1116,966,751,524,366,19477,17,1518,,
